ID,Learn,Learn_Category,Learn_Sub_Category,Teach ,Teach_Category,Teach_Subcategory
1,DigitalMarketing ,Marketing ,SEO,Dance,Art,Dancing
2,webDeveloper ,Web Development,Frontend,APIDeveloper,API Development,Backend
3,GameDeveloper,Game Development,Unity,DataScientist,DataScience,Machine Learning
4,VideoEditor,Video Editing,PremierePro,BlockChainDeveloper ,Blockchain Development,Solidity
5,Photographer,Photography,Product Photography,SalesManager,CustomerService,Communication
6,FashionDesigner,Fashion Design,Styling,contentwriter,Content Marketing,Blogging
7,BusinessMan,Entrepreneurship,Startup Planning,Actor,Acting,Theatre
8,Language,Language Learning,English,Animationexpert,Animation,Blender
9,Networkmanager,Networking,Personal Branding,Fashionartist,Fashion Design,Styling
10,Brandconsulting,Branding ,Visual Identity,GoalAdvisor,Goal Setting,Habit Building
11,Hacker,Ethical Hacking,Penetration Testing,SandArtist,Sand Art,Performance 
12,Woodartist,Wood Carving,HandTools,AIengineer,Chatbot Building,Dialogflow
13,Hardwarengineer,Robotics Programming,Arduino,event management,Balloon Art,Event Décor
14,Trader,Crypto Trading ,Technical Analysis,GameDeveloper,Game Development,Unity
15,softwareendgineer,API Development,Nodejs,Digitalmarketer ,Marketing,socialmedia managament
